UserId,UserName,Email,Gender,ListeningDevice,Region,Followers,SubscriptionId,PaymentId
1,Kimbell Blesdill,kblesdill0@shareasale.com,Male,Windows PC,MV-01,125525988,5,1
2,Leo Yarrall,lyarrall1@jiathis.com,Male,Streaming Stick,CA-NT,129700749,5,4
3,Elsbeth Brickwood,ebrickwood2@ebay.com,Female,macOS Computers,BR-AM,121228683,5,5
4,Bambi Hollyman,bhollyman3@imageshack.us,Female,Smart TV,CG-12,11650272,4,2
5,Amos Beagrie,abeagrie4@ycombinator.com,Male,In-car infotainment system,BR-GO,48650848,1,1
6,Joice Phin,jphin5@businessweek.com,Female,Google Home (Google Assistant),US-NY,38015222,2,5
7,Germaine Harness,gharness6@mozilla.com,Male,Amazon Echo (Alexa),BR-CE,78113696,1,2
8,Erminie Elstow,eelstow7@washingtonpost.com,Genderqueer,In-car infotainment system,CA-BC,37849660,1,5
9,Free Krolik,fkrolik8@time.com,Male,Tablet,VE-C,27764436,3,2
10,Dora Attride,dattride9@nymag.com,Female,Apple HomePod (Siri),CN-34,128767718,2,3
11,Tatum Forman,tformana@europa.eu,Female,Smart TV,CO-ANT,130999800,2,5
12,Grazia Gepp,ggeppb@google.nl,Female,macOS Computers,PK-SD,132883928,3,5
13,Conan Backler,cbacklerc@ycombinator.com,Male,Smartphone,SO-MU,78182355,5,4
14,Carole Ronnay,cronnayd@imdb.com,Female,Amazon Echo (Alexa),AU-QLD,114916447,5,2
15,Roanne Purrier,rpurriere@angelfire.com,Female,Amazon Echo (Alexa),CA-BC,76657153,3,6
16,Johnnie Legrave,jlegravef@house.gov,Male,Tablet,PG-CPM,95919139,1,6
17,Abbot Filipponi,afilipponig@xing.com,Male,Windows PC,CA-QC,6568634,1,6
18,Vaughn Sommerton,vsommertonh@qq.com,Male,Streaming Stick,UG-406,129729067,4,4
19,Gwenette Dellenbroker,gdellenbrokeri@gov.uk,Female,Gaming Console,CH-SO,115273865,5,2
20,Joe Hubble,jhubblej@geocities.com,Male,Streaming Stick,US-CA,93409258,2,5
21,Stavros Hillett,shillettk@rambler.ru,Male,Google Home (Google Assistant),AR-Z,98390231,2,2
22,Kala Vany,kvanyl@digg.com,Female,Streaming Stick,PT-20,100361183,1,1
23,Sully Owbridge,sowbridgem@lulu.com,Male,Tablet,US-IN,62639397,4,3
24,Galen Rawson,grawsonn@tinyurl.com,Male,Windows PC,LR-NI,85003448,5,1
25,Cosimo Cossor,ccossoro@360.cn,Agender,macOS Computers,CA-AB,58716549,1,6
26,Torrance Mountlow,tmountlowp@hud.gov,Male,Amazon Echo (Alexa),CA-BC,119797142,3,1
27,Frayda Nind,fnindq@github.com,Genderqueer,Smartphone,US-AK,48616730,3,1
